reviewcontent,reviewtype,topcritic,genres,productioncompany,movieinfo_rottentomatoeslink_movietitle
Make sure to bring someone with you who doesn't mind if you unexpectedly grab their arm. 10 Cloverfield Lane is one of the best psychological thrillers to come along in awhile.,Fresh,False,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.m/10_cloverfield_lane10 Cloverfield Lane"
There's too little anger and dirt and fear in this story.,Rotten,True,Drama,Warner Bros. Pictures,"After graduating from Harvard, Bryan Stevenson heads to Alabama to defend those wrongly condemned or those not afforded proper representation. One of his first cases is that of Walter McMillian, who is sentenced to die in 1987 for the murder of an 18-year-old girl, despite evidence proving his innocence. In the years that follow, Stevenson encounters racism and legal and political maneuverings as he tirelessly fights for McMillian's life.m/just_mercyJust Mercy"
"This cheerfully chaotic, gleefully vulgar action-comedy retread of the old television series has box-office success written all over it, and where's the harm? It's irresistibly funny until it isn't.",Fresh,True,"Action & Adventure, Comedy",Sony Pictures,"When cops Schmidt (Jonah Hill) and Jenko (Channing Tatum) join the secret Jump Street unit, they use their youthful appearances to go under cover as high-school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.m/21_jump_street_201121 Jump Street"
"Stoller insists on investing his randy rock star with, you know, feelings. ... These moments of pathos take away from Brand's gift for scathing and transgressive comedy.",Rotten,False,Comedy,Universal Pictures,"An ambitious executive at a record company, Aaron Green (Jonah Hill) gets what looks like an easy assignment: He must escort British rock legend Aldous Snow (Russell Brand) to L.A.'s Greek Theatre for the first stop on a lucrative comeback-concert tour. Snow, however, has different plans. Learning his true love is in California, the rocker vows to win her back before starting the tour, forcing Aaron to pull out all the stops to get Snow on stage in time.m/1212410-get_him_to_the_greekGet Him to the Greek"
"The film's decadence and opulence as well as all the details in décor, costumes, wigs, etc is fascinating and shows that Coppola had a true vision for it ...",Fresh,False,"Documentary, Drama",Sony Pictures,"An Austrian teenager (Kirsten Dunst) marries the Dauphin (Jason Schwartzman) of France and becomes that country's queen following the death of King Louis XV (Judy Davis) in 1774. Years later, after a life of luxury and privilege, Marie Antoinette loses her head during the French Revolution.m/1158195-marie_antoinetteMarie Antoinette"
"a celebration both of its stop-motion medium and Anderson's aesthetic, while still managing to fully document the spectacular fun in original author Roald Dahl's daffy, distinctive imagination.",Fresh,False,"Action & Adventure, Animation, Comedy, Kids & Family",20th Century Fox,"After 12 years of bucolic bliss, Mr. Fox (George Clooney) breaks a promise to his wife (Meryl Streep) and raids the farms of their human neighbors, Boggis, Bunce and Bean. Giving in to his animal instincts endangers not only his marriage but also the lives of his family and their animal friends. When the farmers force Mr. Fox and company deep underground, he has to resort to his natural craftiness to rise above the opposition.m/1197696-fantastic_mr_foxFantastic Mr. Fox"
"Memorable performances from Johnson, the terrifically weird Cage and, especially, Moretz as the nimble Hit-Girl, make this an underdog adventure that will have you laughing, gripping your armrest and bursting into applause.",Fresh,False,"Action & Adventure, Comedy, Drama",Lionsgate,"""Using his love for comics as inspiration, teenager Dave Lizewski (Aaron Johnson) decides to reinvent himself as a superhero -- despite a complete lack of special powers. Dave dons a costume, dubs himself """"Kick-Assm/1217700-kick_assKick-Ass"
"North Country centers on Theron's work, and she is truly wonderful start to finish.",Fresh,False,Drama,Warner Bros. Pictures,"Single mother Josey Aimes (Charlize Theron) is part of a group of the first women to work at a local iron mine in Minnesota. Offended that they have to work with women, male workers at Eveleth Mines lash out at them and subject them to sexual harassment. Appalled by the constant stream of insults, sexually explicit language and physical abuse, Josey -- despite being cautioned against it by family and friends -- files a historic sexual harassment lawsuit.m/north_countryNorth Country"
Unapologetically crude and shamelessly silly.,Fresh,False,Comedy,Universal Pictures,"An ambitious executive at a record company, Aaron Green (Jonah Hill) gets what looks like an easy assignment: He must escort British rock legend Aldous Snow (Russell Brand) to L.A.'s Greek Theatre for the first stop on a lucrative comeback-concert tour. Snow, however, has different plans. Learning his true love is in California, the rocker vows to win her back before starting the tour, forcing Aaron to pull out all the stops to get Snow on stage in time.m/1212410-get_him_to_the_greekGet Him to the Greek"
For anyone who understands the unfairness of grief it's a rare chance to let your guard down and go with an emotional flow...,Fresh,False,Drama,Warner Bros. Pictures,"Oskar (Thomas Horn), who lost his father (Tom Hanks) in the 9/11 attack on the World Trade Center, is convinced that his dad left a final message for him somewhere in the city. Upon finding a mysterious key in his father's closet, Oskar sets out in search of the lock it fits. Feeling disconnected from his grieving mother (Sandra Bullock) and driven by a tirelessly active mind, Oskar has a journey of discovery that takes him beyond his loss and leads to a greater understanding of the world.m/extremely_loud_and_incredibly_closeExtremely Loud & Incredibly Close"
"In 13 Hours, Bay is striving for something more realistic, and less Hollywood, than his World War II extravaganza. To some extent, he pulls it off.",Fresh,True,"Action & Adventure, Drama",Paramount Pictures,"On Sept. 11, 2012, Islamic militants attack the U.S. Consulate in Benghazi, Libya, killing Ambassador J. Christopher Stevens and Sean Smith, an officer for the Foreign Service. Stationed less than one mile away are members (James Badge Dale, John Krasinski, Max Martini) of the Annex Security Team, former soldiers assigned to protect operatives and diplomats in the city. As the assault rages on, the six men engage the combatants in a fierce firefight to save the lives of the remaining Americans.m/13_hours_the_secret_soldiers_of_benghazi13 Hours: The Secret Soldiers Of Benghazi"
"This is an honest-to-goodness, feel-good triumphant scene -- albeit one that's disorienting and exhausting, somewhat as it must have been in real life.",Fresh,False,Drama,Fox Searchlight,"""While exploring a remote canyon in Utah, mountaineer and adventurer Aron Ralston (James Franco) becomes trapped when a boulder falls on his arm. Over the next five days, Ralston examines his life and considers his options, leading him to an agonizing choice: to amputate his arm so that he can extricate himself and try to make his way back to civilization or remain pinned to the canyon wall and likely die. Based on Ralston's book, """"Between a Rock and a Hard Place.""""""m/127_hours127 Hours"
"Like a can of 2-day old Coke. You can taste it, but there's no fizz.",Rotten,True,Comedy,Warner Bros. Pictures,"Tells the story of Rainbow Randolph (Robin Williams), the corrupt, costumed star of a popular children's TV show, who is fired over a bribery scandal and replaced by squeaky-clean Smoochy (Edward Norton), a puffy fuscia rhinoceros. As Smoochy catapults to fame - scoring hit ratings and the affections of a network executive (Catherine Keener) - Randolph makes the unsuspecting rhino the target of his numerous outrageous attempts to exact revenge and reclaim his status as America's sweetheart.m/death_to_smoochyDeath to Smoochy"
"Within the first five minutes of ""The House,"" the movie makes light of date rape, and it's all downhill from there.",Rotten,False,Comedy,Warner Bros. Pictures,"Scott and Kate Johansen must figure out a way to earn some money after their daughter's scholarship falls through. When all else fails, the desperate couple join forces with their neighbor Frank to start an underground casino in his home. As the cash rolls in and the good times fly, Scott and Kate soon learn that they may have bitten off more than they can chew.m/the_house_2017The House"
This incredibly well written film - where nothing yet everything happens - shows how short our time is and how important it is to remember that and to be with people who matter.,Fresh,False,"Comedy, Drama",A24 Films,"In 1979 Santa Barbara, Calif., Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women -- Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbor -- to help with Jamie's upbringing.m/20th_century_women20th Century Women"
"It's big and cheesy and if you're in the mood for a dose of exaggerated end-of-world chaos, this is the popcorn movie for you. Roland Emmerich has gleefully combined every possible disaster extreme with child-like enthusiasm: massive visual effects",Fresh,False,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Sony Pictures/Columbia,"Earth's billions of inhabitants are unaware that the planet has an expiration date. With the warnings of an American scientist (Chiwetel Ejiofor), world leaders begin secret preparations for the survival of select members of society. When the global cataclysm finally occurs, failed writer Jackson Curtis (John Cusack) tries to lead his family to safety as the world starts falling apart.m/20122012"
"If you like choir music, you'll love this movie. If you are iffy about the type of music you will find yourself checking your watch as the film does become sluggish towards the end.",Rotten,False,Comedy,Warner Bros. Pictures,"Hard times have fallen on Pacashau, Ga., but the townspeople have faith that the Divinity Church Choir will lift their spirits by winning a national competition. The choir has always made beautiful music, but now, its two leading ladies have hit a sour note. Vi Rose (Queen Latifah) believes that a traditional style is the key to victory, but G.G. (Dolly Parton) thinks tried-and-true means tired-and-old. The two singers must find a harmonious chord or risk losing everything.m/joyful_noise_2011Joyful Noise"
Boyle solves the problem of shooting a film in a single location,Fresh,False,Drama,Fox Searchlight,"""While exploring a remote canyon in Utah, mountaineer and adventurer Aron Ralston (James Franco) becomes trapped when a boulder falls on his arm. Over the next five days, Ralston examines his life and considers his options, leading him to an agonizing choice: to amputate his arm so that he can extricate himself and try to make his way back to civilization or remain pinned to the canyon wall and likely die. Based on Ralston's book, """"Between a Rock and a Hard Place.""""""m/127_hours127 Hours"
...an endeavor that's big on spectacle yet small on plot...,Fresh,False,"Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Film Chest,"A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.m/1221547-alice_in_wonderlandAlice in Wonderland"
Finally finishes a thematic trilogy begun with Unforgiven and A Perfect World.,Fresh,False,Drama,Warner Bros. Pictures,"Long-buried missives from the island reveal the stories of the Japanese troops who fought and died there during World War II. Among them are Saigo (Kazunari Ninomiya), a baker; Baron Nishi (Tsuyoshi Ihara), an Olympic champion; and Shimizu (Ryô Kase), an idealistic soldier. Though Lt. Gen. Tadamichi Kuribayashi (Ken Watanabe) knows he and his men have virtually no chance of survival, he uses his extraordinary military skills to hold off American troops as long as possible.m/letters_from_iwo_jimaLetters from Iwo Jima"
"Eastwood may be aiming for a more restrained and dignified sort of period drama with Changeling, but here he's all surface, preferring the familiar scheme of evil and good, crime and punishment, over delving deeply into character or meaning.",Rotten,False,"Drama, Mystery & Suspense",Universal Pictures,"In 1928 Los Angeles, single mother Christine Collins (Angelina Jolie) arrives home to find her son, Walter, gone. Five months later her prayers are answered when Walter is found in Illinois. But to Christine's horror, the boy who steps off the train is not her son. Authorities vehemently dispute Christine's claim, and her one ally is a clergyman (John Malkovich) who sees the case as his chance to expose corruption in the Los Angeles Police Department and government.m/1191742_changelingChangeling"
"""If you're not too put-off by lots of violence and profanity, and enjoy a good action-filled popcorn flick, then chances are you're going to love """"Kick-Ass.""""""",Fresh,False,"Action & Adventure, Comedy, Drama",Lionsgate,"""Using his love for comics as inspiration, teenager Dave Lizewski (Aaron Johnson) decides to reinvent himself as a superhero -- despite a complete lack of special powers. Dave dons a costume, dubs himself """"Kick-Assm/1217700-kick_assKick-Ass"
"[T]he film does not conclude with Langdon being elected Pope himself, but, watching the spiraling inanities of the last 20 minutes, one might be forgiven for thinking it would be the next logical step.",Rotten,True,"Drama, Mystery & Suspense",Sony/Columbia Pictures,"When Harvard symbologist Robert Langdon discovers the resurgence of an ancient brotherhood known as the Illuminati, he flies to Rome to warn the Vatican, the Illuminati's most hated enemy. Joining forces with beautiful Italian scientist Vittoria Vetra (Ayelet Zurer), Langdon follows a centuries-old trail of ancient symbols in the hope of preventing the Illuminati's deadly plot against the Roman Catholic Church from coming to fruition.m/1189217-angels_and_demonsAngels & Demons"
,Fresh,False,Comedy,Warner Bros. Pictures,"A Jewish-American princess, Judy Benjamin (Goldie Hawn), is devastated when her husband (Albert Brooks) drops dead on their wedding night. While she grieves a duplicitous recruiter for the Women's Army Corps convinces her to enlist. Judy thinks her enlistment is like a vacation but Captain Lewis (Eileen Brennan) quickly dashes her hopes of an easy time. As Judy goes through basic training like any other grunt, she becomes a good soldier and develops a sense of self-esteem.m/private_benjaminPrivate Benjamin"
...you won't be bored.,Fresh,False,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Fox Atomic,"Six months after the original epidemic, the rage virus has all but annihilated the population of the British Isles. Nevertheless the U.S. Army declares the danger past, and American soldiers arrive to restore order and begin reconstruction. Refugees return to British soil, but one of them carries a deadly secret: The virus is not gone and is even more dangerous than before.m/28_weeks_later28 Weeks Later..."
,Fresh,False,Drama,Warner Bros. Pictures,"When Max Klein (Jeff Bridges) survives a plane crash that kills many others, his last-minute epiphanies bring him a sense of invulnerability, leading to radical behavior. Instead of contacting his wife (Isabella Rossellini) after the crash, he sets off on a trip to see his old girlfriend, eats foods he was allergic to previously, and is strangely unafraid to fly again. Can a psychologist (John Turturro) and a fellow guilt-ridden survivor (Rosie Perez) help bring him down to earth?m/1046151-fearlessFearless"
"Much has been made of Mendes' decision for the film to unfold as if it is one continuous shot, but that mastery of the medium never gets in the way of the human connection with two young men in a seemingly doomed situation.",Fresh,False,Drama,Universal Pictures,"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.m/1917_20191917"
Director Tim Burton's effort here is a mild disappointment.,Rotten,False,"Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Film Chest,"A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.m/1221547-alice_in_wonderlandAlice in Wonderland"
This film leaves a strange taste in the mouth.,Rotten,True,"Comedy, Drama",Summit Entertainment,"Adam Lerner (Joseph Gordon-Levitt) has always tried to take good care of his health, so it comes as a cruel surprise when he learns that he has malignant tumors along his spine. His doctor gives him a 50/50 chance of survival, but Adam tries to remain upbeat, though his mother (Anjelica Huston) and his friend Kyle (Seth Rogen), react badly to the news. Adam starts seeing a therapist (Anna Kendrick), but their relationship threatens to cross the boundary between doctor and patient.m/5050_201150/50"
"[Jordan's] portrayal of Stevenson is sympathetic if a little too saintly, but when he spouts legalese, he sounds more like an actor reciting memorized lines than a member of the bar thoroughly fluent in the language of the law.",Rotten,False,Drama,Warner Bros. Pictures,"After graduating from Harvard, Bryan Stevenson heads to Alabama to defend those wrongly condemned or those not afforded proper representation. One of his first cases is that of Walter McMillian, who is sentenced to die in 1987 for the murder of an 18-year-old girl, despite evidence proving his innocence. In the years that follow, Stevenson encounters racism and legal and political maneuverings as he tirelessly fights for McMillian's life.m/just_mercyJust Mercy"
"It's comforting, really, to see the movie's soft-pedaling of actual ghetto problems; realism isn't Lottery Ticket's game.",Fresh,True,Comedy,Warner Bros. Pictures,"Kevin Carson (Bow Wow), an ordinary guy living in the projects, wins a $370 million lottery. Unfortunately, the claim office is closed for a long holiday weekend, and he must keep his good fortune a secret. But the news spreads like wildfire, and Kevin must figure out how to survive three days among the friends, family and neighbors who want a piece of the pie.m/10012039-lottery_ticketLottery Ticket"
"Michael Bay efforts to keep the politics out of this movie, but, really, how can you keep the politics out of a movie about the terror that happened at Benghazi?",Fresh,False,"Action & Adventure, Drama",Paramount Pictures,"On Sept. 11, 2012, Islamic militants attack the U.S. Consulate in Benghazi, Libya, killing Ambassador J. Christopher Stevens and Sean Smith, an officer for the Foreign Service. Stationed less than one mile away are members (James Badge Dale, John Krasinski, Max Martini) of the Annex Security Team, former soldiers assigned to protect operatives and diplomats in the city. As the assault rages on, the six men engage the combatants in a fierce firefight to save the lives of the remaining Americans.m/13_hours_the_secret_soldiers_of_benghazi13 Hours: The Secret Soldiers Of Benghazi"
"Christopher Nolan's Insomnia adds 11 minutes to the Norwegian movie of the same name and manages to make everything that was fleeting and tantalizing in the original weighty, literal and dull.",Rotten,False,"Drama, Mystery & Suspense",Warner Bros. Pictures,"""From acclaimed director Chris Nolan (""""Memento"""") comes the story of a veteran police detective (Al Pacino) who is sent to a small Alaskan town to investigate the murder of a teenage girl. Forced into a psychological game of cat-and-mouse by the primary suspect (Robin Williams)m/1114154-insomniaInsomnia"
A spunky 3D animated feature that shows how a supervillain can follow his heart and be transformed from within.,Fresh,False,"Animation, Comedy, Kids & Family",Universal Pictures,"A man who delights in all things wicked, supervillain Gru (Steve Carell) hatches a plan to steal the moon. Surrounded by an army of little yellow minions and his impenetrable arsenal of weapons and war machines, Gru makes ready to vanquish all who stand in his way. But nothing in his calculations and groundwork has prepared him for his greatest challenge: three adorable orphan girls (Miranda Cosgrove, Dana Gaier, Elsie Fisher) who want to make him their dad.m/1214097-despicable_meDespicable Me"
"A sharp spin on the usual rom-com formulae, this is funny, sensitive and challenges the genre's gender conventions.",Fresh,False,"Comedy, Drama, Romance",Fox Searchlight Pictures,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.m/500_days_of_summer500 Days of Summer"
,Fresh,True,Comedy,Warner Bros. Pictures,"After the high-flying stoners (Kal Penn, John Cho) try to smuggle a bong aboard a flight to Amsterdam, the two find themselves in jail on charges of terrorism. After making an amazing escape, Harold and Kumar flee to Texas by way of Florida, where they hope to convince Harold's well-connected friend (Eric Winter) to help them out of their predicament. The problem is, Harold's pal is about to marry Kumar's ex-sweetie (Danneel Harris).m/harold_and_kumar_2Harold & Kumar Escape from Guantanamo Bay"
Fans of Picoult's novel are likely to be at least modestly disturbed by the liberties that Cassavetes takes.,Fresh,False,Drama,Warner Bros. Pictures,"Conceived as a marrow donor for her gravely ill sister, Anna Fitzgerald (Abigail Breslin) has undergone countless surgeries and medical procedures in her short life. Though their older daughter's life has no doubt been prolonged, the unorthodox decision of Anna's parents has cracked the entire family's foundation. When Anna sues her parents for emancipation, it sets off a court case that threatens to destroy the family for good.m/10010662-my_sisters_keeperMy Sister's Keeper"
"Adrien Brody is trying to use the gravelliest, froggiest voice possible to sound tougher than he looks. Then he takes off his shirt and proves he is no Arnold (he's no Taylor Lautner, either).",Rotten,False,"Action & Adventure, Horror, Science Fiction & Fantasy",20th Century Fox,"Brought together on a mysterious planet, a mercenary (Adrien Brody) and a group of coldblooded killers now become the prey. A new breed of aliens pursues the ragtag humans through dense jungle. The group must work together to survive, or become the latest trophies of the fearsome intergalactic hunters.m/10012256-predatorsPredators"
"although his new low budget indie echoes the works of others, particularly Hirokazu Kore-eda's ruminations on time and the after life, the film's style is unique, its most startling aspect how moving Affleck is beneath a sheet.",Fresh,False,Drama,Ideaman Studios,"A passionate young couple, unexpectedly separated by a shocking loss, discover an eternal connection and a love that is infinite.m/a_ghost_storyA Ghost Story"
...moves you the most when it pauses to listen to the whimper of a grunt.,Fresh,False,Drama,Universal Pictures,"In the late 1980s, Anthony Swofford (Jake Gyllenhaal) enlists as a Marine, training in boot camp under a sadistic drill instructor. Swofford undertakes a sniper course headed by Staff Sgt. Sykes (Jamie Foxx) during this time, which is shortly before the advent of the Gulf War. When the United States becomes involved, Swofford is shipped out, along with his spotter, Alan Troy (Peter Sarsgaard). Facing uncertainty each day -- about the war and home -- the soldiers try to maintain composure.m/1152567-jarheadJarhead"
"Despite some major flaws, Pearl Harbor is an effective piece of entertainment.",Fresh,False,"Action & Adventure, Drama, Romance",Touchstone,"This sweeping drama, based on real historical events, follows American boyhood friends Rafe McCawley (Ben Affleck) and Danny Walker (Josh Hartnett) as they enter World War II as pilots. Rafe is so eager to take part in the war that he departs to fight in Europe alongside England's Royal Air Force. On the home front, his girlfriend, Evelyn (Kate Beckinsale), finds comfort in the arms of Danny. The three of them reunite in Hawaii just before the Japanese attack on Pearl Harbor.m/1108389-pearl_harborPearl Harbor"
An exceptional picture from one of the most gifted British filmmakers to emerge in the past decade.,Fresh,False,"Drama, Mystery & Suspense",Warner Bros. Pictures,"""From acclaimed director Chris Nolan (""""Memento"""") comes the story of a veteran police detective (Al Pacino) who is sent to a small Alaskan town to investigate the murder of a teenage girl. Forced into a psychological game of cat-and-mouse by the primary suspect (Robin Williams)m/1114154-insomniaInsomnia"
"If the subject matter is familiar, Haigh approaches it in good faith - avoiding both sentimentality and cynicism, and seeking out fresh insight rather than settling for cliche.",Fresh,True,Drama,Sundance Selects,"As their 45th wedding anniversary approaches, a woman (Charlotte Rampling) learns that her husband (Tom Courtenay) was once engaged to someone else.m/45_years45 Years"
An emotionally powerful story with some electrifying performances.,Fresh,False,Drama,Warner Bros. Pictures,"""White Oleander"" chronicles the life of Astrid (Alison Lohman), a young teenager who journeys through a series of foster homes after her mother (Michelle Pfeiffer) goes to prison for committing a crime of passion. Set adrift in the world, Astrid struggles to become her own person while coming to terms with the challenges of living life on her own.m/white_oleanderWhite Oleander"
"It consists largely of white men saying vile, racist things to the saintly ballplayer, who restrains his anger (just) before hitting it out of the park, to triumphant music by Mark Isham.",Rotten,False,Drama,Warner Bros. Pictures,"In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.m/42_201342"
...a pop confection that owes as much to Quentin Tarantino as it does to Mark Millar's comic book series and its titular hero isn't really very interesting.,Fresh,False,"Action & Adventure, Comedy, Drama",Lionsgate,"""Using his love for comics as inspiration, teenager Dave Lizewski (Aaron Johnson) decides to reinvent himself as a superhero -- despite a complete lack of special powers. Dave dons a costume, dubs himself """"Kick-Assm/1217700-kick_assKick-Ass"
"A solid film that's worth seeing in the theater, but the Oscar buzz is questionable.",Fresh,False,Drama,Warner Bros. Pictures,"Single mother Josey Aimes (Charlize Theron) is part of a group of the first women to work at a local iron mine in Minnesota. Offended that they have to work with women, male workers at Eveleth Mines lash out at them and subject them to sexual harassment. Appalled by the constant stream of insults, sexually explicit language and physical abuse, Josey -- despite being cautioned against it by family and friends -- files a historic sexual harassment lawsuit.m/north_countryNorth Country"
An adventure in pure imagination that plays to the smart kid in all of us.,Fresh,True,"Action & Adventure, Animation, Comedy, Kids & Family",20th Century Fox,"After 12 years of bucolic bliss, Mr. Fox (George Clooney) breaks a promise to his wife (Meryl Streep) and raids the farms of their human neighbors, Boggis, Bunce and Bean. Giving in to his animal instincts endangers not only his marriage but also the lives of his family and their animal friends. When the farmers force Mr. Fox and company deep underground, he has to resort to his natural craftiness to rise above the opposition.m/1197696-fantastic_mr_foxFantastic Mr. Fox"
"Rather empty spectacle; it doesn't really have characters, relationships or emotional stakes ... Schofield has few attributes, other than being a Very Decent British Man, and the film has little to say, other than that British Men are Very Decent.",Fresh,False,Drama,Universal Pictures,"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.m/1917_20191917"
"We Are Marshall isn't about grief or loss, but how these things can be overcome. It's uplifting, but shallow.",Rotten,True,Drama,Warner Bros. Pictures,"In 1970, Marshall University and the small town of Huntington, W.Va., reel when a plane crash claims the lives of 75 of the school's football players, staff members and boosters. New coach Jack Lengyel (Matthew McConaughey) arrives on the scene in March 1971, determined to rebuild Marshall's Thundering Herd and heal a grieving community in the process.m/we_are_marshallWe Are Marshall"
"Empathetic and ethically compelling, it's tender and well-timed.",Fresh,False,"Art House & International, Drama",Sony Pictures Classics,A transgender singer faces scorn and discrimination after the sudden death of her older boyfriend.m/a_fantastic_womanA Fantastic Woman (Una mujer fantástica)
"... Essentially Franco in a one-man show, and his charm and enthusiasm instantly win us over.",Fresh,False,Drama,Fox Searchlight,"""While exploring a remote canyon in Utah, mountaineer and adventurer Aron Ralston (James Franco) becomes trapped when a boulder falls on his arm. Over the next five days, Ralston examines his life and considers his options, leading him to an agonizing choice: to amputate his arm so that he can extricate himself and try to make his way back to civilization or remain pinned to the canyon wall and likely die. Based on Ralston's book, """"Between a Rock and a Hard Place.""""""m/127_hours127 Hours"
"Too smart to ignore but a little too smugly superior to like, this could be a movie that ends up slapping its target audience in the face by shooting itself in the foot.",Rotten,True,"Comedy, Drama",Columbia Pictures,"""Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald (Nicolas Cage). While struggling to adapt """"The Orchid Thiefm/1118700-adaptationAdaptation"
"As the series gets longer and our hero gets older, the action only gets louder and the hair-raising situations become more unbelievable.",Rotten,False,Action & Adventure,20th Century Fox,"New York City cop John McClane (Bruce Willis) arrives in Moscow to track down his estranged son, Jack (Jai Courtney). McClane thinks his son is a criminal, so it comes as a shock when he learns that Jack is actually working undercover to protect Komarov (Sebastian Koch), a Russian government whistleblower. With their own lives on the line, McClane and Jack must overcome their differences in order to get Komarov to safety and thwart a potentially disastrous crime in the Chernobyl region.m/a_good_day_to_die_hardA Good Day To Die Hard"
"The Gordon-Levitt-Rogen bromance is one of the most exciting and fun ones in recent comedy history, and the pair have a wonderful natural rift ...",Fresh,False,"Comedy, Drama",Summit Entertainment,"Adam Lerner (Joseph Gordon-Levitt) has always tried to take good care of his health, so it comes as a cruel surprise when he learns that he has malignant tumors along his spine. His doctor gives him a 50/50 chance of survival, but Adam tries to remain upbeat, though his mother (Anjelica Huston) and his friend Kyle (Seth Rogen), react badly to the news. Adam starts seeing a therapist (Anna Kendrick), but their relationship threatens to cross the boundary between doctor and patient.m/5050_201150/50"
"The first half of 28 Weeks Later is highly enjoyable, assuming you find things like cowardice, official incompetence, and nihilistic visions of the future entertaining.",Fresh,False,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Fox Atomic,"Six months after the original epidemic, the rage virus has all but annihilated the population of the British Isles. Nevertheless the U.S. Army declares the danger past, and American soldiers arrive to restore order and begin reconstruction. Refugees return to British soil, but one of them carries a deadly secret: The virus is not gone and is even more dangerous than before.m/28_weeks_later28 Weeks Later..."
"It took twenty-three years, but Predator has finally found a worthwhile heir.",Fresh,False,"Action & Adventure, Horror, Science Fiction & Fantasy",20th Century Fox,"Brought together on a mysterious planet, a mercenary (Adrien Brody) and a group of coldblooded killers now become the prey. A new breed of aliens pursues the ragtag humans through dense jungle. The group must work together to survive, or become the latest trophies of the fearsome intergalactic hunters.m/10012256-predatorsPredators"
"""It's 8 Miles of bad road, I'm sorry to say, even for fans of Eminem's music -- we are left """"doing time"""" waiting for his """"wicked rhymes"""" till well beyond the point of patience.""",Rotten,False,Drama,Universal Pictures,"The people of Detroit know 8 Mile as the city limit, a border, a boundary. It is also a psychological dividing line that separates Jimmy Smith Jr. (Eminem) from where and who he wants to be. A provocative fictional examination of a critical week in Jimmy's life.m/8_mile8 Mile"
"Even if...your idea of (w)rapping has more to do with leftover bologna than improvisational street slang, 8 Mile still goes the distance.",Fresh,False,Drama,Universal Pictures,"The people of Detroit know 8 Mile as the city limit, a border, a boundary. It is also a psychological dividing line that separates Jimmy Smith Jr. (Eminem) from where and who he wants to be. A provocative fictional examination of a critical week in Jimmy's life.m/8_mile8 Mile"
